key,variant,epochs,batch,lr,f1_macro_val,accuracy_val,precision_macro_val,recall_macro_val,n_val,f1_macro_test,accuracy_test,precision_macro_test,recall_macro_test,n_test,gflops,params,size_mb,inf_ms
m_ep25_bs16_lr1e-02,m,25,16,0.01,0.6577645093124969,0.6811594202898551,0.7003571428571429,0.6532722832722831,69,0.5683047581073897,0.5857142857142857,0.6407828282828282,0.5455844155844155,70,4.851194368,10366026,19.932,87.26
m_ep25_bs16_lr1e-03,m,25,16,0.001,0.6734725703146756,0.6956521739130435,0.7440692640692641,0.678986568986569,69,0.5181872515568168,0.5285714285714286,0.5434521687462863,0.5280086580086579,70,4.851194368,10366026,19.932,88.76
m_ep25_bs16_lr1e-04,m,25,16,0.0001,0.09780645161290323,0.2463768115942029,0.07297348484848484,0.15367521367521367,69,0.13259322373696875,0.2857142857142857,0.1811597960418287,0.17402597402597403,70,4.851194368,10366026,59.501,113.3
m_ep25_bs32_lr1e-02,m,25,32,0.01,0.7493186769657358,0.7536231884057971,0.774126984126984,0.7630280830280831,69,0.5941502941502942,0.6,0.6477705627705628,0.5965800865800865,70,4.851194368,10366026,19.932,113.32
m_ep25_bs32_lr1e-03,m,25,32,0.001,0.630958975664858,0.6811594202898551,0.7579166666666667,0.6408119658119659,69,0.5244594011652836,0.5857142857142857,0.5797478991596638,0.5342857142857143,70,4.851194368,10366026,19.932,70.01
m_ep25_bs32_lr1e-04,m,25,32,0.0001,0.1,0.2463768115942029,0.09711835334476845,0.14683760683760685,69,0.10717418546365916,0.2714285714285714,0.09733333333333333,0.1520779220779221,70,4.851194368,10366026,19.932,138.39
m_ep25_bs8_lr1e-02,m,25,8,0.01,0.7657289055973265,0.7971014492753623,0.8434920634920635,0.7715934065934066,69,0.7175467608076304,0.7428571428571429,0.8150075414781297,0.687142857142857,70,4.851194368,10366026,19.932,91.22
m_ep25_bs8_lr1e-03,m,25,8,0.001,0.7568688399722883,0.7681159420289855,0.8105681818181818,0.7477899877899878,69,0.5614981684981685,0.5857142857142857,0.60375,0.5503463203463203,70,4.851194368,10366026,19.932,80.27
m_ep25_bs8_lr1e-04,m,25,8,0.0001,0.11077811550151977,0.2898550724637681,0.08160990712074304,0.17786324786324786,69,0.11599408721359943,0.2857142857142857,0.08821086532757014,0.17077922077922075,70,4.851194368,10366026,19.932,79.27
m_ep50_bs8_lr1e-04,m,50,8,0.0001,0.04871794871794872,0.2028985507246377,0.05333333333333333,0.11000000000000001,69,0.034999999999999996,0.2,0.021212121212121213,0.1,70,4.851194368,10366026,59.5,39.8
n_ep25_bs16_lr1e-02,n,25,16,0.01,0.72269352511288,0.7246376811594203,0.7565367965367966,0.7203235653235655,69,0.7028478526304613,0.7,0.7511904761904762,0.6742424242424242,70,0.398312704,1543914,3.06,20.17
n_ep25_bs16_lr1e-03,n,25,16,0.001,0.6737598437053972,0.6811594202898551,0.7260732323232324,0.6598534798534799,69,0.6506569967096284,0.6571428571428571,0.720860781730347,0.6242424242424243,70,0.398312704,1543914,3.06,20.81
n_ep25_bs16_lr1e-04,n,25,16,0.0001,0.17115516062884484,0.3188405797101449,0.23621212121212118,0.20650793650793647,69,0.3003989898989899,0.37142857142857144,0.5252100840336135,0.2793073593073593,70,0.398312704,1543914,3.06,22.94
n_ep25_bs32_lr1e-02,n,25,32,0.01,0.7932869418163536,0.782608695652174,0.8029487179487178,0.7991391941391941,69,0.747260941489553,0.7428571428571429,0.7997058823529412,0.7238095238095238,70,0.398312704,1543914,3.06,20.52
n_ep25_bs32_lr1e-03,n,25,32,0.001,0.5575911369332422,0.5797101449275363,0.6267948717948718,0.5458852258852258,69,0.6560240655401945,0.6571428571428571,0.7563632119514472,0.6265800865800866,70,0.398312704,1543914,3.06,21.62
n_ep25_bs32_lr1e-04,n,25,32,0.0001,0.1632330827067669,0.3188405797101449,0.22573593073593073,0.20539682539682538,69,0.21112417276210377,0.34285714285714286,0.35777777777777775,0.22402597402597402,70,0.398312704,1543914,3.06,22.9
n_ep25_bs8_lr1e-02,n,25,8,0.01,0.6788532482010743,0.6956521739130435,0.7596503496503496,0.6847008547008546,69,0.7808152958152957,0.7857142857142857,0.8862387612387612,0.7666666666666667,70,0.398312704,1543914,3.06,20.31
n_ep25_bs8_lr1e-03,n,25,8,0.001,0.5845580736831938,0.6086956521739131,0.6173863636363637,0.5801709401709402,69,0.5722311466000106,0.6142857142857143,0.5934173669467787,0.5794372294372294,70,0.398312704,1543914,3.06,22.15
n_ep25_bs8_lr1e-04,n,25,8,0.0001,0.23042575781706218,0.36231884057971014,0.29898351648351645,0.2571489621489621,69,0.1694512862616311,0.2714285714285714,0.226640866873065,0.18454545454545454,70,0.398312704,1543914,3.06,19.58
n_ep50_bs16_lr1e-02,n,50,16,0.01,0.8363602410661233,0.8405797101449275,0.8558333333333333,0.8311172161172161,69,0.6979262088160347,0.7,0.7723737373737374,0.6732467532467533,70,0.398312704,1543914,3.063,19.79
