Key,Variant,Epochs,Batch,LR,F1-macro,Accuracy,Precision-macro,Recall-macro,Params,GFLOPs,Size (MB),Inf. time (ms),Inf. time std
n_ep25_bs16_lr1e-02,n,25,16,0.01,0.5712,0.6,0.6101,0.5761,1543914,0.398312704,3.06,10.72,1.77
n_ep50_bs32_lr1e-03,n,50,32,0.001,0.5408,0.5571,0.624,0.5475,1543914,0.398312704,3.062,10.04,1.47
n_ep50_bs8_lr1e-02,n,50,8,0.01,0.5347,0.5714,0.6086,0.5185,1543914,0.398312704,3.063,10.65,2.04
n_ep25_bs8_lr1e-03,n,25,8,0.001,0.5198,0.5286,0.5774,0.5061,1543914,0.398312704,3.06,11.02,1.8
n_ep50_bs16_lr1e-02,n,50,16,0.01,0.5184,0.5286,0.6019,0.5018,1543914,0.398312704,3.063,11.0,1.82
n_ep50_bs16_lr1e-03,n,50,16,0.001,0.5093,0.5429,0.548,0.5047,1543914,0.398312704,3.063,11.15,2.27
n_ep25_bs32_lr1e-02,n,25,32,0.01,0.5056,0.5429,0.5323,0.5208,1543914,0.398312704,3.06,10.16,1.8
n_ep50_bs8_lr1e-03,n,50,8,0.001,0.4986,0.5143,0.5119,0.5084,1543914,0.398312704,3.063,10.77,2.09
n_ep25_bs8_lr1e-02,n,25,8,0.01,0.4975,0.5286,0.5245,0.4899,1543914,0.398312704,3.06,11.15,1.91
n_ep25_bs16_lr1e-03,n,25,16,0.001,0.4921,0.5429,0.539,0.4832,1543914,0.398312704,3.06,11.09,1.74
n_ep50_bs32_lr1e-02,n,50,32,0.01,0.4913,0.5571,0.5038,0.4961,1543914,0.398312704,3.063,10.67,1.71
n_ep25_bs32_lr1e-03,n,25,32,0.001,0.4389,0.5143,0.5068,0.4365,1543914,0.398312704,3.06,11.09,1.84
n_ep50_bs8_lr1e-04,n,50,8,0.0001,0.3278,0.4429,0.4248,0.3356,1543914,0.398312704,3.063,10.22,1.62
n_ep50_bs16_lr1e-04,n,50,16,0.0001,0.3234,0.4571,0.4525,0.337,1543914,0.398312704,3.063,10.8,1.75
n_ep50_bs32_lr1e-04,n,50,32,0.0001,0.2947,0.4143,0.3274,0.3122,1543914,0.398312704,3.063,18.79,3.88
n_ep25_bs8_lr1e-04,n,25,8,0.0001,0.2036,0.3,0.2946,0.2088,1543914,0.398312704,3.06,10.45,1.74
n_ep25_bs16_lr1e-04,n,25,16,0.0001,0.1841,0.3,0.3021,0.1974,1543914,0.398312704,3.06,16.64,2.54
n_ep25_bs32_lr1e-04,n,25,32,0.0001,0.1522,0.3,0.2001,0.1888,1543914,0.398312704,3.06,11.81,2.06
