epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1647.94,2.27942,0.2029,0.65217,2.21814,0.000971429,0.00032381,0.000971429,0.00032381,0.0685905,0.0679429,0.000971429,0.00032381
2,2635.59,2.21839,0.21739,0.69565,2.15619,0.00189336,0.00063112,0.00189336,0.00063112,0.0361791,0.0349168,0.00189336,0.00063112
3,3314.86,2.17619,0.18841,0.66667,2.07725,0.00273609,0.00091203,0.00273609,0.00091203,0.00368847,0.00186441,0.00273609,0.00091203
4,3966.28,2.09117,0.18841,0.75362,2.07412,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
5,4540.03,1.9956,0.26087,0.84058,1.94695,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
6,5173.28,1.91354,0.33333,0.84058,1.91913,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
7,5820.53,1.77817,0.31884,0.88406,1.67169,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
8,6439.63,1.65813,0.55072,0.95652,1.64252,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
9,7000.62,1.54703,0.43478,0.94203,1.45679,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
10,7625.48,1.42328,0.4058,0.89855,1.41667,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
11,8252.86,1.39397,0.57971,0.94203,1.25556,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
12,8892.83,1.30296,0.57971,0.98551,1.10307,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
13,9463.49,1.28281,0.57971,0.97101,1.13557,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
14,10094.8,1.25195,0.66667,0.98551,0.98735,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
15,10719.7,1.21348,0.62319,1,0.93347,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
16,11340.6,1.13538,0.63768,0.98551,1.05727,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
17,11902.1,1.14269,0.66667,1,0.92685,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
18,12526.1,1.1817,0.65217,1,1.00671,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
19,13154.5,1.11045,0.66667,1,1.06545,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
20,13788.6,1.08671,0.62319,1,0.74477,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
21,14380.4,1.12451,0.69565,1,0.75723,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
22,15012.4,1.08876,0.68116,1,0.81045,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
23,15638.1,1.08444,0.69565,1,0.87824,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
24,16269.8,1.03661,0.68116,1,0.7983,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
25,16843.9,1.0543,0.65217,0.98551,0.83007,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
