epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.0579,2.29224,0.14493,0.66667,2.31002,5.1e-05,1.7e-05,5.1e-05,1.7e-05,0.083051,0.083017,5.1e-05,1.7e-05
2,141.141,2.27738,0.14493,0.69565,2.09941,0.000102921,3.4307e-05,0.000102921,3.4307e-05,0.0651029,0.0650343,0.000102921,3.4307e-05
3,204.368,2.23175,0.18841,0.69565,2.29006,0.000152704,5.09012e-05,0.000152704,5.09012e-05,0.0471527,0.0470509,0.000152704,5.09012e-05
4,245.019,2.23647,0.2029,0.72464,2.16092,0.000200348,6.67826e-05,0.000200348,6.67826e-05,0.0292003,0.0290668,0.000200348,6.67826e-05
5,285.584,2.20865,0.2029,0.65217,2.27053,0.000245854,8.19512e-05,0.000245854,8.19512e-05,0.0112459,0.011082,0.000245854,8.19512e-05
6,326.77,2.20783,0.23188,0.63768,2.48953,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05,0.0002703,9.01e-05
7,367.354,2.18581,0.24638,0.66667,2.23484,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05,0.00026436,8.812e-05
8,407.874,2.14742,0.27536,0.65217,2.13569,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05,0.00025842,8.614e-05
9,448.589,2.13154,0.31884,0.71014,2.13818,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
10,489.667,2.10904,0.27536,0.73913,2.14454,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05,0.00024654,8.218e-05
11,530.49,2.081,0.30435,0.81159,1.85973,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05,0.0002406,8.02e-05
12,571.058,2.04874,0.28986,0.82609,2.04256,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05,0.00023466,7.822e-05
13,611.525,2.03359,0.28986,0.84058,1.95681,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05,0.00022872,7.624e-05
14,652.26,2.00684,0.31884,0.85507,1.96715,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05,0.00022278,7.426e-05
15,692.815,1.98145,0.30435,0.84058,2.12944,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05,0.00021684,7.228e-05
16,733.518,1.96748,0.28986,0.81159,1.97501,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05,0.0002109,7.03e-05
17,773.939,1.94006,0.30435,0.7971,2.10226,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05,0.00020496,6.832e-05
18,814.734,1.93223,0.34783,0.89855,1.80657,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05,0.00019902,6.634e-05
19,855.407,1.91244,0.3913,0.92754,1.7708,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05,0.00019308,6.436e-05
20,897.014,1.86221,0.36232,0.91304,1.67325,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05,0.00018714,6.238e-05
21,937.716,1.88027,0.36232,0.92754,1.79141,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05,0.0001812,6.04e-05
22,978.623,1.85877,0.36232,0.94203,2.00838,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05,0.00017526,5.842e-05
23,1019.16,1.83897,0.37681,0.91304,1.77901,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05,0.00016932,5.644e-05
24,1059.48,1.81931,0.4058,0.92754,1.7168,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05,0.00016338,5.446e-05
25,1100.34,1.80904,0.37681,0.91304,1.91276,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05,0.00015744,5.248e-05
26,1141.01,1.80103,0.4058,0.94203,1.90142,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05,0.0001515,5.05e-05
27,1182.05,1.78407,0.3913,0.91304,1.76344,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05,0.00014556,4.852e-05
