epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1166.88,2.2525,0.2029,0.68116,2.14495,0.00985714,0.00328571,0.00985714,0.00328571,0.077,0.0704286,0.00985714,0.00328571
2,1691.72,2.00799,0.36232,0.73913,1.87845,0.019464,0.00648799,0.019464,0.00648799,0.0532735,0.0402975,0.019464,0.00648799
3,2027.47,1.60431,0.37681,0.82609,1.60321,0.0286748,0.00955827,0.0286748,0.00955827,0.029151,0.0100345,0.0286748,0.00955827
4,2330.36,1.46069,0.6087,1,0.94487,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2607.68,1.32593,0.49275,0.89855,1.2671,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2909.42,1.365,0.55072,0.95652,1.29757,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3214.73,1.25686,0.55072,0.97101,1.18494,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3519.59,1.19165,0.57971,1,1.22706,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3792.74,1.15843,0.6087,0.95652,1.03342,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4096.7,1.13587,0.49275,0.98551,1.11592,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4404.36,1.07041,0.5942,1,0.87917,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4715.26,1.04211,0.53623,1,1.05315,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4994.81,0.96252,0.6087,1,0.85889,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5304.99,0.99722,0.65217,1,0.93004,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5616.66,0.95223,0.5942,1,0.93758,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5928.57,1.02366,0.6087,0.98551,1.10693,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6211.7,0.98627,0.63768,1,0.911,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6527.49,0.92949,0.57971,1,0.90102,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
