epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,123.987,2.28414,0.17391,0.55072,2.31228,0.000971429,0.00032381,0.000971429,0.00032381,0.0685905,0.0679429,0.000971429,0.00032381
2,202.36,2.20749,0.21739,0.72464,2.17832,0.00193239,0.000644131,0.00193239,0.000644131,0.0362181,0.0349298,0.00193239,0.000644131
3,261.297,2.09582,0.28986,0.63768,2.16072,0.00285376,0.000951253,0.00285376,0.000951253,0.00380614,0.00190363,0.00285376,0.000951253
4,324.417,1.96842,0.36232,0.75362,1.87827,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,376.901,1.8357,0.3913,0.76812,2.07579,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,433.205,1.64919,0.47826,0.89855,1.74241,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,489.814,1.52611,0.37681,0.92754,1.56922,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,546.098,1.41404,0.57971,0.97101,1.33732,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,597.681,1.37551,0.63768,0.98551,1.18558,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,654.122,1.25913,0.65217,1,0.97103,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,710.774,1.257,0.62319,0.98551,0.97179,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,766.078,1.19034,0.57971,0.98551,0.80671,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,817.655,1.15641,0.56522,0.98551,1.04178,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,873.385,1.16169,0.57971,0.97101,0.93744,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,931.204,1.09723,0.62319,0.98551,0.93648,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,989.449,1.09818,0.65217,0.98551,0.9303,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,1041.96,1.10359,0.5942,0.98551,1.04937,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,1097.88,1.01014,0.63768,1,0.96506,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,1154.99,1.1082,0.6087,0.98551,1.11702,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,1211.68,1.07252,0.65217,1,0.74318,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,1267.97,1.05227,0.62319,1,0.926,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
